date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-03T00:00:00Z,46914.433333333334,1211.584467772719,7648.891841999489,28045.93675399813,3453378.0561966626,47823.50336458168,301916.0565945813,1107025.540846798,3500292.4895299957,49035.0878323544,309564.9484365808,1135071.4776007961
2022-09-03T01:00:00Z,37381.916666666664,939.9617736138916,5934.102106148305,21758.374389210454,2405217.1097429167,32205.3878489639,203316.84248083268,745495.0890963866,2442599.026409583,33145.34962257779,209250.944586981,767253.463485597
2022-09-03T02:00:00Z,27606.933333333334,678.1323064091185,4281.138298037365,15697.50709280367,1785457.7802192783,24052.783132328543,151848.37836066,556777.3873224199,1813064.7135526116,24730.915438737662,156129.51665869736,572474.8944152236
2022-09-03T03:00:00Z,23558.05,583.9111946440363,3686.3080469951783,13516.462838982321,1722984.2465589487,23517.20412460253,148467.1977563291,544379.72510654,1746542.2965589487,24101.115319246564,152153.50580332425,557896.1879455224
2022-09-03T04:00:00Z,23909.583333333332,622.9065168781631,3932.49063685709,14419.132335142664,1614252.4609918967,22072.162538473996,139344.4604701641,510929.6883906018,1638162.04432523,22695.06905535216,143276.9511070212,525348.8207257445
2022-09-03T05:00:00Z,29562.366666666665,765.0437840206073,4829.8218688169645,17709.346852328872,3566291.795455204,49617.36743575516,313240.95603380783,1148550.172123962,3595854.1621218706,50382.411219775764,318070.7779026248,1166259.518976291
2022-09-03T06:00:00Z,31146.2,825.1965618636982,5209.574254190014,19101.772265363383,5579640.823119104,77077.37539854151,486599.5921625095,1784198.504595868,5610787.023119104,77902.57196040521,491809.16641669953,1803300.2768612315
2022-09-03T07:00:00Z,40477.26666666667,1080.7850572092846,6823.137987432351,25018.172620585286,6577829.542108088,91792.50449611606,579498.1344451772,2124826.4929656493,6618306.808774754,92873.28955332535,586321.2724326095,2149844.6655862345
2022-09-03T08:00:00Z,55617.78333333333,1513.6123069350988,9555.633250852896,35037.321919793954,7630000.359129748,108234.92548742675,683301.2972691082,2505438.0899867304,7685618.1424630815,109748.53779436185,692856.9305199612,2540475.411906524
2022-09-03T09:00:00Z,81801.6,2316.181263466079,14622.356461275751,53615.30702467776,10393287.490406014,147956.57639424023,934069.2954181831,3424920.7498666714,10475089.090406014,150272.7576577063,948691.6518794588,3478536.056891349
2022-09-03T10:00:00Z,99059.81666666667,2917.864155189227,18420.85956558855,67543.15174049136,11904338.202387892,170684.11486482658,1077551.2302072383,3951021.177426541,12003398.019054558,173601.9790200158,1095972.089772827,4018564.3291670326
2022-09-03T11:00:00Z,107135.18333333333,3145.2695072524484,19856.499414472524,72807.1645197326,11911790.65514772,172658.18218481238,1090013.7764192699,3996717.18020399,12018925.838481054,175803.45169206482,1109870.2758337425,4069524.344723723
2022-09-03T12:00:00Z,110155.33333333333,3346.420409527504,21126.391474289798,77463.43540572927,11392158.132653143,164628.40402547576,1039320.732484064,3810842.6857749014,11502313.465986477,167974.82443500325,1060447.1239583537,3888306.1211806308
2022-09-03T13:00:00Z,111180.78333333334,3390.995591658343,21407.80045238853,78495.26832542461,11599170.300213112,166384.43947830744,1050406.8148883046,3851491.65459045,11710351.083546445,169775.43506996578,1071814.6153406932,3929986.922915875
2022-09-03T14:00:00Z,113162.06666666667,3527.696858394501,22270.81349996528,81659.6494998727,11649340.596502995,167917.62967830367,1060086.0459488868,3886982.168479251,11762502.663169662,171445.32653669818,1082356.859448852,3968641.817979124
2022-09-03T15:00:00Z,111002.26666666666,3337.673186965492,21071.169109630628,77260.95340197897,11953036.390811218,170629.41124582797,1077205.8790771968,3949754.8899497217,12064038.657477885,173967.08443279346,1098277.0481868275,4027015.843351701
2022-09-03T16:00:00Z,104142.76666666666,3111.7505885444025,19644.890079194458,72031.26362371302,11887005.118267428,169157.74792919902,1067915.0753105998,3915688.609472199,11991147.884934096,172269.49851774343,1087559.9653897942,3987719.873095912
2022-09-03T17:00:00Z,101526.16666666667,3056.0508445051832,19293.250280967066,70741.91769687923,11909368.122868594,168810.03865954277,1065719.941032467,3907639.783785712,12010894.28953526,171866.08950404797,1085013.191313434,3978381.701482591
2022-09-03T18:00:00Z,107591.21666666666,3100.2969845896087,19572.581973419245,71766.13390253723,12822913.920975924,180998.34775461955,1142666.3368347194,4189776.568393971,12930505.13764259,184098.64473920915,1162238.9188081387,4261542.7022965085
2022-09-03T19:00:00Z,97084.78333333334,2888.6950368534885,18236.71109124677,66867.94066790483,11745859.188690366,165619.67240555864,1045578.7399340823,3833788.713091635,11842943.9720237,168508.36744241213,1063815.451025329,3900656.65375954
2022-09-03T20:00:00Z,86004.75,2415.515134394311,15249.464232287317,55914.702185053495,8810053.25894046,126670.92157458614,799690.1614557205,2932197.2586709755,8896058.00894046,129086.43670898046,814939.6256880079,2988111.960856029
2022-09-03T21:00:00Z,73898.01666666666,2059.8643208097865,13004.193944506227,47682.0444631895,6950068.758746011,97436.27914507603,615128.024905783,2255469.424654538,7023966.775412678,99496.14346588582,628132.2188502892,2303151.469117727
2022-09-03T22:00:00Z,67355.08333333333,1844.3528570176295,11643.641774101196,42693.35317170439,6584113.461483003,91787.36326676134,579465.6771891499,2124707.483026883,6651468.544816336,93631.71612377897,591109.3189632511,2167400.8361985874
2022-09-03T23:00:00Z,61001.433333333334,1624.5228664656015,10255.826177181827,37604.695983000034,5654686.924499704,78464.94929288316,495359.5283641613,1816318.2706685916,5715688.357833037,80089.47215934876,505615.3545413432,1853922.9666515917
