date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-05T00:00:00Z,32018.25,875.2222042897937,5525.392703849707,20259.773247448928,2450876.1157328407,34232.587971895315,216114.82305489463,792421.017867947,2482894.3657328407,35107.81017618511,221640.21575874434,812680.791115396
2022-09-05T01:00:00Z,22449.533333333333,665.7805352135712,4203.159944530121,15411.58646327711,1710489.5172476661,24258.188373775345,153145.12862231908,561532.1382818366,1732939.0505809996,24923.968908988918,157348.2885668492,576943.7247451138
2022-09-05T02:00:00Z,17688.316666666666,506.30072850035435,3196.342982956782,11719.924270841535,1579725.4221166389,22051.28688361658,139212.66971980163,510446.4556392727,1597413.7387833055,22557.587612116935,142409.01270275842,522166.3799101142
2022-09-05T03:00:00Z,16432.716666666667,465.92290976366564,2941.4325111342528,10785.252540825593,1400643.669243836,20164.600384630518,127301.77010499062,466773.1570516323,1417076.3859105026,20630.523294394185,130243.20261612487,477558.4095924579
2022-09-05T04:00:00Z,25187.416666666668,744.7766566060818,4701.872832109102,17240.200384400043,1882898.1559156948,26907.987212737826,169873.6566460721,622870.0743689311,1908085.5725823615,27652.763869343908,174575.5294781812,640110.2747533312
2022-09-05T05:00:00Z,57989.916666666664,1716.8387332688153,10838.628366596055,39741.63734418553,5505470.531947569,79483.424184061485,501789.2940912972,1839894.0783347564,5563460.448614236,81200.2629173303,512627.92245789326,1879635.715678942
2022-09-05T06:00:00Z,92251.08333333333,2652.2838645035713,16744.216316310423,61395.45982647156,11482702.455677394,163055.9044047969,1029393.3358888692,3774442.2315925206,11574953.539010728,165708.18826930047,1046137.5522051797,3835837.6914189924
2022-09-05T07:00:00Z,118639.18333333333,3497.647992818342,22081.11106577236,80964.07390783199,14032582.608616134,202580.94657088944,1278920.1172404636,4689373.763215033,14151221.791949468,206078.5945637078,1301001.228306236,4770337.837122865
2022-09-05T08:00:00Z,127445.56666666667,3638.783496770985,22972.11803517036,84231.09946229131,14637411.641062565,205684.74918591918,1298514.8307191867,4761221.045970351,14764857.207729232,209323.53268269016,1321486.948754357,4845452.145432643
2022-09-05T09:00:00Z,120651.2,3373.618086654676,21298.093981405782,78093.01126515454,13916826.372279286,193728.52572696487,1223033.6220136671,4484456.614050113,14037477.572279286,197102.14381361954,1244331.7159950729,4562549.625315268
