date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-30T00:00:00Z,32961.46666666667,811.0265155068586,5120.116890826127,18773.76193302913,1890633.7196216441,25964.02386655481,163914.29208683592,601019.0709850651,1923595.1862883107,26775.05038206167,169034.40897766204,619792.8329180942
2022-09-30T01:00:00Z,25527.75,660.6958052364379,4171.059376492663,15293.884380473099,1616592.169608176,22494.66184236673,142011.75405534552,520709.76486960024,1642119.919608176,23155.35764760317,146182.81343183818,536003.6492500734
2022-09-30T02:00:00Z,21722.933333333334,570.3093270616823,3600.4376708439536,13201.604793094497,1790905.0756290746,25614.109708344247,161705.23805772883,592919.2062116724,1812628.008962408,26184.41903540593,165305.6757285728,606120.8110047668
2022-09-30T03:00:00Z,17165.016666666666,439.9526279950618,2777.4787120900364,10184.0886109968,1513797.278742528,21091.98175704515,133156.45048639615,488240.3184501192,1530962.2954091947,21531.93438504021,135933.92919848618,498424.40706111596
2022-09-30T04:00:00Z,25277.766666666666,724.5495452088085,4574.1764217727805,16771.980213166862,1833513.4514133015,26182.802138690335,165295.46804728743,606083.382840054,1858791.2180799681,26907.35168389914,169869.6444690602,622855.3630532209
2022-09-30T05:00:00Z,55870.083333333336,1671.3966224952892,10551.746354136925,38689.736631835396,3908278.626229949,57422.69843977702,362517.0356046529,1329229.130550394,3964148.7095632823,59094.09506227231,373068.7819587898,1367918.8671822294
2022-09-30T06:00:00Z,91305.85,2639.865475807299,16665.81739777335,61107.99712516896,10942912.32941651,159447.0963549871,1006610.4567865346,3690905.008217294,11034218.17941651,162086.9618307944,1023276.274184308,3752013.0053424626
2022-09-30T07:00:00Z,110752.95,3248.2193806886103,20506.435484145266,75190.26344186597,12418944.262244567,182567.4052673025,1152572.002950142,4226097.344150521,12529697.212244567,185815.62464799112,1173078.4384342872,4301287.607592387
2022-09-30T08:00:00Z,121534.61666666667,3591.9070942399085,22676.18115050447,83145.99755184972,14209508.412004681,209753.0855050921,1324198.7721281066,4855395.497803058,14331043.028671348,213344.992599332,1346874.953278611,4938541.495354908
2022-09-30T09:00:00Z,120202.18333333333,3431.5122207930763,21663.58725248154,79433.15325909898,14691692.137746518,214875.86860902878,1356539.5745519493,4973978.440023814,14811894.321079852,218307.38082982186,1378203.161804431,5053411.593282913
