date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-27T00:00:00Z,27011.366666666665,701.7520931729769,4430.253113465762,16244.261416041129,1632774.592956093,22679.172385571484,143176.5933432543,524980.8422585991,1659785.9596227596,23380.924478744462,147606.84645672006,541225.1036746403
2022-09-27T01:00:00Z,20631.483333333334,725.8458560316136,4582.360202219782,16801.9874081392,1325164.627860554,18778.175099899963,118549.08522664117,434679.97916435095,1345796.1111938874,19504.020955931577,123131.44542886096,451481.9665724902
2022-09-27T02:00:00Z,17907.033333333333,673.6376967252542,4252.7632369018565,15593.465201973477,1407475.9310996465,19523.544428196023,123254.69967295468,451933.89880083385,1425382.96443298,20197.182124921277,127507.46290985653,467527.3640028073
2022-09-27T03:00:00Z,16655.133333333335,641.7116493173536,4051.209907306525,14854.436326790592,1323396.423705538,19136.979739433933,120814.26603177987,442985.6421165262,1340051.5570388713,19778.691388751286,124865.47593908639,457840.0784433168
2022-09-27T04:00:00Z,25727.783333333333,800.7279835492565,5055.100906245306,18535.369989566123,1548096.9472589171,22570.280166070155,142489.14246256408,522460.1890294017,1573824.7305922506,23371.00814961941,147544.24336880937,540995.5590189678
2022-09-27T05:00:00Z,60718.03333333333,1877.3295161952306,11851.827753757769,43456.70176377849,5007920.147359905,72252.16434927084,456137.40119489166,1672503.8043812695,5068638.180693238,74129.49386546607,467989.2289486494,1715960.506145048
2022-09-27T06:00:00Z,101214.85,3098.757766563346,19562.86468789991,71730.50385563301,12229726.124865446,175749.5150268352,1109529.7665835556,4068275.8108063703,12330940.974865446,178848.27279339856,1129092.6312714554,4140006.3146620034
2022-09-27T07:00:00Z,123871.28333333334,3841.7260870522664,24253.321256643092,88928.84460769134,13262074.715647353,193983.02021935536,1224640.279162597,4490347.690262855,13385945.998980686,197824.74630640761,1248893.60041924,4579276.534870546
2022-09-27T08:00:00Z,133455.48333333334,4442.471353258606,28045.90500794574,102834.98502913439,14826457.601817042,221392.54534653688,1397680.210521066,5124827.438577242,14959913.085150374,225835.0166997955,1425726.115529012,5227662.423606376
2022-09-27T09:00:00Z,123018.1,3759.2918307978666,23732.90297220875,87020.64423143209,13172391.68574963,197057.92250853407,1244052.5410892302,4561525.983993844,13295409.78574963,200817.21433933193,1267785.444061439,4648546.628225276
2022-09-27T10:00:00Z,117446.95,3567.9241519704537,22524.773686682154,82590.8368511679,10889131.51473873,161574.35484521737,1020040.1189723319,3740147.10289855,11006578.464738728,165142.27899718782,1042564.892659014,3822737.939749718
2022-09-27T11:00:00Z,116668.7,3368.6403641196757,21266.66896540199,77977.78620647397,11568824.471421937,168097.61781182225,1061222.334670595,3891148.5604588483,11685493.171421936,171466.2581759419,1082489.003635997,3969126.3466653223
2022-09-27T12:00:00Z,116532.36666666667,3560.0751343848165,22475.22180798495,82409.14662927816,12548364.775889633,184235.5025027253,1163102.9198404374,4264710.706081604,12664897.1425563,187795.57763711014,1185578.1416484222,4347119.852710882
2022-09-27T13:00:00Z,121248.13333333333,3711.9722117416773,23434.168003419676,85925.28267920548,12545894.90703017,184572.13959272805,1165228.1539944953,4272503.231313149,12667143.040363504,188284.11180446972,1188662.321997915,4358428.513992355
