date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-09T00:00:00Z,33528.26666666667,839.2723453995933,5298.4365239873305,19427.600587953548,2140520.3821010175,29689.080649339772,187431.06470542785,687247.2372532354,2174048.648767684,30528.352994739365,192729.50122941518,706674.837841189
2022-09-09T01:00:00Z,25544.65,681.6801997770992,4303.536614754414,15779.634254099517,1822586.7558104321,25857.546002100647,163242.083346595,598554.3056041816,1848131.405810432,26539.226201877747,167545.6199613494,614333.9398582812
2022-09-09T02:00:00Z,20074.533333333333,555.0082378711297,3503.8398855500614,12847.412913683558,1409175.374876944,20518.241984985965,129534.35596582049,474959.30520800845,1429249.9082102776,21073.250222857096,133038.19585137055,487806.718121692
2022-09-09T03:00:00Z,18148.95,519.3368927171025,3278.641999476657,12021.687331414409,1564148.465247177,23009.48691811522,145261.9123618385,532627.0119934079,1582297.415247177,23528.823810832324,148540.55436131515,544648.6993248223
2022-09-09T04:00:00Z,24043.85,703.4137867850824,4440.743603441177,16282.72654595098,1559741.514242234,23070.38993010791,145646.40107391358,534036.8039376831,1583785.364242234,23773.803716892995,150087.14467735475,550319.5304836341
2022-09-09T05:00:00Z,53770.15,1638.225312052238,10342.3315154813,37921.882223431436,5463874.354597136,78623.41808867009,496359.96268099797,1819986.5298303259,5517644.504597137,80261.64340072233,506702.29419647926,1857908.4120537573
2022-09-09T06:00:00Z,92578.16666666667,2719.463765078672,17168.331850244143,62950.550117561856,10996172.65161524,157897.3721688997,996826.8445006292,3655031.7631689743,11088750.818281906,160616.83593397835,1013995.1763508734,3717982.3132865364
2022-09-09T07:00:00Z,115171.11666666667,3455.2779448587867,21813.623389260014,79983.28576062006,12898290.53424394,183933.29150520504,1161195.0221288195,4257715.081139005,13013461.650910607,187388.56945006383,1183008.6455180794,4337698.3668996245
2022-09-09T08:00:00Z,125169.51666666666,3742.3398780565153,23625.883068538606,86628.23791797488,15403363.49088747,218508.56617492388,1379473.2713063376,5058068.661456571,15528533.007554138,222250.9060529804,1403099.154374876,5144696.899374546
2022-09-09T09:00:00Z,116694.83333333333,3331.369472181537,21031.372930438993,77115.03407827631,14175394.538130164,199801.64736686007,1261374.0364069447,4625038.133492131,14292089.371463498,203133.0168390416,1282405.4093373837,4702153.1675704075
2022-09-09T10:00:00Z,117575.73333333334,3426.6130422120727,21632.658094773185,79319.74634750167,13117041.250659725,188378.73087593482,1189259.6646208004,4360618.770276269,13234616.983993057,191805.3439181469,1210892.3227155735,4439938.516623771
2022-09-09T11:00:00Z,112208.71666666666,3287.639009203969,20755.296775277584,76102.75484268447,13570012.325212216,194705.3502326626,1229200.4433880213,4507068.292422744,13682221.041878883,197992.98924186657,1249955.7401632988,4583171.047265429
2022-09-09T12:00:00Z,122636.65,3705.1552310166994,23391.131508943807,85767.48219946063,13841550.869306812,197823.3975648041,1248885.0856363894,4579245.314000094,13964187.519306812,201528.55279582078,1272276.2171453333,4665012.796199555
