date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-22T00:00:00Z,30780.3,711.6511053381233,4492.746877134617,16473.40521616026,1844975.9733490283,24869.554290665867,157004.76193602188,575684.127098747,1875756.2733490283,25581.20539600399,161497.50881315648,592157.5323149072
2022-09-22T01:00:00Z,21318.75,497.03868932689005,3137.870513427336,11505.525215900232,1379233.735701842,19074.763716539823,120421.48810946856,441545.4564013847,1400552.485701842,19571.802405866714,123559.35862289589,453050.98161728494
2022-09-22T02:00:00Z,16549.183333333334,394.33654572805676,2489.4983947478327,9128.160780742053,1188109.9381976563,16725.99140515876,105593.38008307296,387175.7269712675,1204659.1215309897,17120.327950886815,108082.87847782079,396303.88775200956
2022-09-22T03:00:00Z,15944,386.0361518087067,2437.096917984259,8936.022032608951,1190646.7730306268,16646.23534086095,105089.86957614234,385329.52177918865,1206590.7730306268,17032.271492669657,107526.96649412661,394265.54381179763
2022-09-22T04:00:00Z,22567.65,604.0286088642504,3813.3119246480446,13982.143723709498,1641170.161892103,23326.24343578205,147261.6378521594,539959.3387912511,1663737.811892103,23930.2720446463,151074.94977680742,553941.4825149606
2022-09-22T05:00:00Z,54364.21666666667,1510.8990962340197,9538.50439541679,34974.51611652823,4181807.787494172,61414.80180231058,387719.7083479203,1421638.9306090411,4236172.004160838,62925.7008985446,397258.2127433371,1456613.4467255694
2022-09-22T06:00:00Z,89885.43333333333,2571.8823775094197,16236.631171145327,59534.31429419953,9849887.309757393,141175.819020269,891261.4837138194,3267958.773617338,9939772.743090726,143747.7013977784,907498.1148849648,3327493.0879115374
2022-09-22T07:00:00Z,115282.21666666666,3370.2590786563533,21276.88812283051,78015.25645037855,11713064.94424532,172346.4565396302,1088045.8114875644,3989501.3087877356,11828347.160911987,175716.71561828654,1109322.699610395,4067516.565238114
2022-09-22T08:00:00Z,128013.3,3798.447295435447,23980.096562092465,87927.02072767238,13202124.489372917,196436.43359494107,1240128.9999680624,4547139.666549562,13330137.789372917,200234.88089037652,1264109.0965301548,4635066.687277234
2022-09-22T09:00:00Z,116569.51666666666,3355.5468546583757,21184.007920823075,77674.69570968462,13303102.97985821,194457.2137247312,1227633.9250298685,4501324.391776185,13419672.496524878,197812.76057938958,1248817.9329506916,4578999.087485869
2022-09-22T10:00:00Z,114955.76666666666,3305.092589315876,20865.483518408306,76506.77290083046,12794038.894305356,186967.56998959617,1180350.8206413898,4327953.00901843,12908994.660972023,190272.66257891204,1201216.3041597982,4404459.78191926
2022-09-22T11:00:00Z,112936.86666666667,3216.328575885033,20305.104645738844,74452.0503677091,12788212.452149423,185983.71949538062,1174139.643278918,4305178.692022699,12901149.31881609,189200.04807126566,1194444.7479246568,4379630.742390408
2022-09-22T12:00:00Z,108568.45,3126.7835289264126,19739.795005848562,72379.24835477806,13080684.758924998,188713.87425394033,1191375.4687748756,4368376.718841211,13189253.208924998,191840.65778286674,1211115.2637807243,4440755.967195989
2022-09-22T13:00:00Z,116843.55,3317.216149596413,20942.021146442,76787.41087028732,14842100.014952578,214901.52870746268,1356701.5701228704,4974572.423783858,14958943.564952578,218218.7448570591,1377643.5912693124,5051359.834654146
2022-09-22T14:00:00Z,127574.86666666667,3635.2648259840444,22949.904204444723,84149.64874963065,14990915.849931104,214239.88668690994,1352524.5371648355,4959256.636271063,15118490.716597771,217875.151512894,1375474.4413692802,5043406.285020694
2022-09-22T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-22T16:00:00Z,130282.6,3965.982111586829,25037.765855977454,91805.14147191733,14807554.427891156,218485.89926229854,1379330.1721104705,5057543.964405058,14937837.027891155,222451.88137388538,1404367.937966448,5149349.105876976
2022-09-22T17:00:00Z,124828.35,3626.699545857534,22895.83046627231,83951.3783763318,15857131.358097384,226034.70190981458,1426986.7544811526,5232284.766430893,15981959.708097383,229661.4014556721,1449882.584947425,5316236.144807225
2022-09-22T18:00:00Z,117280.73333333334,3229.4283154051072,20387.80502149689,74755.28507882192,15098205.458595539,214455.7328089889,1353887.20207695,4964253.07428215,15215486.191928871,217685.16112439398,1374275.007098447,5039008.3593609715
2022-09-22T19:00:00Z,104706.65,2791.1171296262096,17620.688949660413,64609.19281542152,11932791.67843307,170312.48549476475,1075205.085194222,3942418.645712147,12037498.32843307,173103.60262439097,1092825.7741438823,4007027.8385275686
2022-09-22T20:00:00Z,85174.26666666666,2285.0422954254077,14425.772067079593,52894.49757929185,8508450.78799154,119619.76769259329,755175.301089604,2768976.1039952147,8593625.054658208,121904.8099880187,769601.0731566836,2821870.6015745066
2022-09-22T21:00:00Z,66576.11666666667,1748.9881618378834,11041.591930794719,40485.83707958063,6519647.633731646,90108.7777715257,568868.5465374097,2085851.3373038354,6586223.750398313,91857.76593336358,579910.1384682044,2126337.174383416
2022-09-22T22:00:00Z,61879.2,1578.4732948310875,9965.109184539693,36538.73367664554,5677614.873256165,77728.88349107558,490712.64830224484,1799279.7104415644,5739494.073256165,79307.35678590667,500677.75748678454,1835818.4441182099
2022-09-22T23:00:00Z,46730.51666666667,1166.3299366965155,7363.194044801233,26998.378164271187,4225424.578527155,57221.75731547776,361248.46790074336,1324577.715636059,4272155.095193822,58388.08725217427,368611.6619455446,1351576.09380033
