date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-29T00:00:00Z,30080.383333333335,724.1192558134829,4571.4599483174425,16762.019810497288,2071881.7935451244,27963.72574079054,176538.67260600088,647308.4662220032,2101962.176878458,28687.844996604024,181110.13255431832,664070.4860325005
2022-09-29T01:00:00Z,21341.05,518.7565122404362,3274.9779813158852,12008.252598158246,1596182.9091913404,22240.24368626165,140405.5788274094,514820.45570050116,1617523.9591913405,22759.000198502086,143680.5568087253,526828.7082986594
2022-09-29T02:00:00Z,17338.983333333334,436.4286338068954,2755.23127403343,10102.51467145591,1513372.072809463,21453.759193925813,135440.39895155185,496614.7961556901,1530711.0561427963,21890.18782773271,138195.63022558528,506717.310827146
2022-09-29T03:00:00Z,17296.333333333332,459.09437988937174,2898.3231053621953,10627.184719661383,1662085.7581638922,23616.99693514624,149097.20287339794,546689.7438691258,1679382.0914972255,24076.09131503561,151995.52597876012,557316.9285887872
2022-09-29T04:00:00Z,22600.133333333335,620.4830960215395,3917.191262762244,14363.034630128228,1706095.7398103895,24298.04440272715,153396.74496671182,562454.73154461,1728695.8731437228,24918.527498748692,157313.93622947406,576817.7661747382
2022-09-29T05:00:00Z,54636.86666666667,1611.701755461408,10174.884819832121,37307.91100605111,4165210.970057437,60948.98702513142,384778.9584919913,1410856.1811373013,4219847.836724103,62560.68878059283,394953.8433118234,1448164.0921433524
2022-09-29T06:00:00Z,95431.78333333334,2803.2505461596247,17697.28880151278,64890.058938880196,9366187.960116431,134855.16662214973,851358.375139834,3121647.375512725,9461619.743449764,137658.41716830936,869055.6639413468,3186537.434451605
2022-09-29T07:00:00Z,120239.66666666667,3642.4382169830133,22995.190763781648,84315.69946719937,10643373.80561993,154328.33766148335,974295.060994213,3572415.2236454478,10763613.472286597,157970.77587846637,997290.2517579946,3656730.923112647
2022-09-29T08:00:00Z,129791.1,3836.706874279279,24221.634307318676,88812.65912683516,11695359.720504425,169570.0663163072,1070518.0954312324,3925233.016581185,11825150.820504425,173406.77319058648,1094739.729738551,4014045.67570802
2022-09-29T09:00:00Z,121088.25,3465.0724936501283,21875.457661932625,80210.0114270863,12003837.374170318,174359.8409881516,1100756.5718948964,4036107.430281287,12124925.624170318,177824.91348180175,1122632.029556829,4116317.4417083734
2022-09-29T10:00:00Z,118471.38333333333,3336.9529419703267,21066.622108398526,77244.28106412792,13746993.989628786,196714.74858843093,1241886.039068377,4553582.143250716,13865465.372962119,200051.70153040125,1262952.6611767756,4630826.4243148435
