date,cars_sampled,ECO2_gmh_sampled,ECO2_micro_sampled,EC_gmh_sampled,cars_nonsampled,ECO2_gmh_nonsampled,ECO2_micro_nonsampled,EC_gmh_nonsampled,cars_total,ECO2_gmh_total,ECO2_micro_total,EC_gmh_total
2022-09-25T00:00:00Z,45120.15,1117.6155109750644,7055.653478377931,25870.72942071908,2668714.736626195,35833.03718907371,226218.66912294007,829468.4534507802,2713834.8866261947,36950.65270004877,233274.322601318,855339.1828714993
2022-09-25T01:00:00Z,36340.916666666664,842.8910437523963,5321.281841871188,19511.36675352769,1958219.3658324638,25936.131700776466,163738.20518166962,600373.4189994553,1994560.2824991306,26779.022744528862,169059.4870235408,619884.785752983
2022-09-25T02:00:00Z,28624.25,659.8254018774269,4165.564405791836,15273.736154570066,1653665.5006587624,22199.633650342796,140149.20233802267,513880.4085727499,1682289.7506587624,22859.459052220223,144314.7667438145,529154.14472732
2022-09-25T03:00:00Z,23178.3,532.8731045489737,3364.097882253622,12335.025568263281,1658691.2266599166,22731.048029262653,143504.09109382986,526181.6673440429,1681869.5266599166,23263.921133811626,146868.18897608347,538516.6929123062
2022-09-25T04:00:00Z,22146.766666666666,513.0103153856134,3238.7014860202858,11875.23878207438,1687927.8403273616,23464.323158801606,148133.35327526266,543155.628675963,1710074.6069940282,23977.33347418722,151372.05476128295,555030.86745803745
2022-09-25T05:00:00Z,23437.616666666665,576.9415303786933,3642.3076412796295,13355.128018025307,2964068.501234301,41108.605168240356,259524.02252676993,951588.0825981564,2987506.1179009676,41685.54669861905,263166.33016804955,964943.2106161817
2022-09-25T06:00:00Z,24652.7,613.733881319002,3874.5825840846082,14206.80280831023,5681266.551654495,79134.19830330166,499584.58524811646,1831810.1459097604,5705919.2516544955,79747.93218462066,503459.16783220106,1846016.9487180705
2022-09-25T07:00:00Z,24130.55,614.6422886201826,3880.3174786627687,14227.83075509682,6952495.695637211,97552.96281030712,615864.6642064842,2258170.4354237756,6976626.245637211,98167.60509892729,619744.981685147,2272398.2661788724
2022-09-25T08:00:00Z,27844.083333333332,749.3742960542536,4730.898333675843,17346.62722347809,6791305.010321316,96660.95365227989,610233.2932593427,2237522.0752842566,6819149.093654649,97410.32794833415,614964.1915930185,2254868.7025077348
2022-09-25T09:00:00Z,40117.916666666664,1295.573860834556,8179.127909309064,29990.135667466573,7830806.571077629,112898.58208943545,712743.573796941,2613393.103922117,7870924.487744296,114194.15595027001,720922.7017062501,2643383.2395895836
